Product Name,Product Price,Product Camera,Product RAM,Product ROM,Product Display,Product Processor,Product Color,Product Rating
realme P3 Ultra 5G,21999,50MP + 8MP | 16MP Front Camera,8 GB RAM,128,17.35 cm (6.83 inch) Display,Dimensity 8350 Ultra,Orion Red,4.4
realme 14x 5G,14999,50MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Jewel Red,4.3
realme 15 5G,27999,50MP + 8MP | 50MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Display,Mediatek Dimensity 7300+ 5G,Flowing Silver,4.4
realme 14x 5G,14999,50MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Golden Glow,4.3
realme P3 Lite 5G,11499,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) Display,Dimensity 6300,Purple Blossom,4.4
realme C63 5G,12999,32MP Rear Camera | 8MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Forest Green,4.4
realme 13 Pro+ 5G,26998,50MP + 8MP + 50MP | 32MP Front Camera,12 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Gold,4.4
realme C63 5G,10999,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Starry Gold,4.5
realme 15 5G,29999,50MP + 8MP | 50MP Front Camera,12 GB RAM,256,17.27 cm (6.8 inch) Display,Mediatek Dimensity 7300+ 5G,Flowing Silver,4.4
realme C73 5G,10499,32MP Rear Camera | 8MP Front Camera,4 GB RAM,64,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Jade Green,4.2
realme 14 Pro 5G,24999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.2 cm (6.77 inch) Full HD+ Display,Dimensity 7300 Energy,Jaipur Pink,4.4
realme C75 5G,12899,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Purple Blossom,4.2
realme C75 5G,12899,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Midnight Lily,4.2
realme P4 Pro 5G,27999,50MP + 8MP | 50MP Front Camera,12 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4 Mobile,Midnight Ivy,4.4
realme P4 Pro 5G,23999,50MP + 8MP | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4 Mobile,Dark Oak Wood,4.4
realme C73 5G,11349,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Jade Green,4.2
realme 14x 5G,15999,50MP Rear Camera | 8MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Crystal Black,4.4
realme 13 Pro+ 5G,23947,50MP + 8MP + 50MP | 32MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Purple,4.4
realme 13 Pro 5G,21999,50MP + 8MP + 2MP | 32MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Gold,4.4
realme 14 Pro+ 5G,29999,50MP + 50MP + 8MP | 32MP Front Camera,8 GB RAM,128,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Suede Grey,4.4
realme P3 Ultra 5G,23999,50MP + 8MP | 16MP Front Camera,8 GB RAM,256,17.35 cm (6.83 inch) Display,Dimensity 8350 Ultra,Glowing Lunar White,4.4
realme 70 TURBO 5G,14999,50MP Rear Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Segment's Fastest Dimensity 7300 Energy 5G Chipset,Turbo Purple,4.3
realme 13 Pro 5G,26447,50MP + 8MP + 2MP | 32MP Front Camera,12 GB RAM,512,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Gold,4.3
realme C63 5G,10999,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Starry Gold,4.4
realme P4 Pro 5G,27999,50MP + 8MP | 50MP Front Camera,12 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4 Mobile,Dark Oak Wood,4.4
realme 13+ 5G,17927,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Dark Purple,4.3
realme P3 5G,15999,50MP + 2MP | 16MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4,Comet Grey,4.4
realme 14 Pro+ 5G,28999,50MP + 50MP + 8MP | 32MP Front Camera,8 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Bikaner Purple,4.4
realme C75 5G,13999,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Purple Blossom,4.4
realme 15 Pro 5G,33999,50MP + 50MP | 50MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Silk Purple,4.3
realme 13+ 5G,16990,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Victory Gold,4.3
realme NARZO N65 5G,12447,50MP Rear Camera,6 GB RAM,128,16.94 cm (6.67 inch) Display,,AMBER GOLD,4.3
realme Narzo N65 5G,11599,50MP Rear Camera,6 GB RAM,128,16.94 cm (6.67 inch) Display,,Ambr Gold,4.3
realme 14 Pro 5G,24999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.2 cm (6.77 inch) Full HD+ Display,Dimensity 7300 Energy,Jaipur Pink,4.4
realme C63 5G,12999,32MP Rear Camera | 8MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Starry Gold,4.4
realme 70 TURBO 5G,14484,50MP Rear Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Segment's Fastest Dimensity 7300 Energy 5G Chipset,Turbo Green,4.3
realme P3 Pro 5G,18999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Nebula Glow,4.4
realme C63 5G,10999,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Forest Green,4.5
realme C63 5G,10999,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Starry Gold,4.5
realme 70 TURBO 5G,14999,50MP Rear Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Segment's Fastest Dimensity 7300 Energy 5G Chipset,Turbo Purple,4.3
realme P3 Pro 5G,23999,50MP + 2MP | 16MP Front Camera,12 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Nebula Glow,4.4
realme C73 5G,11499,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Crystal Purple,4.2
realme 12+ 5G,17499,50MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Navigator Beige,4.3
realme C75 5G,12899,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Purple Blossom,4.2
realme C75 5G,13490,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Midnight Lily,4.4
realme C63 5G,10999,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Starry Gold,4.4
realme C63 5G,12999,32MP Rear Camera | 8MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Forest Green,4.4
realme C63 5G,10999,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Forest Green,4.4
realme NARZO N65 5G,11955,50MP Rear Camera,4 GB RAM,128,16.94 cm (6.67 inch) Display,,AMBER GOLD,4.3
realme C73 5G,10499,32MP Rear Camera | 8MP Front Camera,4 GB RAM,64,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Jade Green,4.2
realme 13 Pro 5G,21999,50MP + 8MP + 2MP | 32MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Gold,4.4
realme C75 5G,13997,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Lily White,4.4
realme 13+ 5G,17999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Speed Green,4.3
realme P3 Pro 5G,19999,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Galaxy Purple,4.4
realme 13 Pro 5G,26999,50MP + 8MP + 2MP | 32MP Front Camera,12 GB RAM,512,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Purple,4.3
realme C73 5G,9988,32MP Rear Camera | 8MP Front Camera,4 GB RAM,64,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Onyx Black,4.2
realme 12 5G,16999,108MP + 2MP | 8MP Front Camera,6 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+,Twilight Purple,4.4
realme 14 Pro Lite 5G,21999,50MP + 8MP + 2MP | 32MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,7s Gen2,Glass Gold,4.3
realme C73 5G,11328,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Onyx Black,4.2
realme 13 5G,15699,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6300,Dark Purple,4.3
realme 13+ 5G,18998,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Victory Gold,4.3
realme 13+ 5G,20990,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Dark Purple,4.3
realme 12 5G,17999,108MP + 2MP | 8MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+,Woodland Green,4.3
realme 13 5G,15999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6300,Speed Green,4.3
realme 13 5G,15999,,8 GB RAM,256,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6300,Dark Purple,4.2
realme C75 5G,12899,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Lily White,4.2
realme GT 7T,37999,50MP + 8MP | 32MP Front Camera,12 GB RAM,256,17.27 cm (6.8 inch) Full HD+ AMOLED Display,Dimensity 8400-MAX,IceSense Blue,4.5
realme GT 7T,37999,50MP + 8MP | 32MP Front Camera,12 GB RAM,256,17.27 cm (6.8 inch) Full HD+ AMOLED Display,Dimensity 8400-MAX,IceSense Black,4.5
realme GT 7T,41999,50MP + 8MP | 32MP Front Camera,12 GB RAM,512,17.27 cm (6.8 inch) Full HD+ AMOLED Display,Dimensity 8400-MAX,IceSense Black,4.5
realme GT 7T,37999,50MP + 8MP | 32MP Front Camera,12 GB RAM,256,17.27 cm (6.8 inch) Full HD+ AMOLED Display,Dimensity 8400-MAX,Racing Yellow,4.5
realme GT 7T,41999,50MP + 8MP | 32MP Front Camera,12 GB RAM,512,17.27 cm (6.8 inch) Full HD+ AMOLED Display,Dimensity 8400-MAX,IceSense Blue,4.5
realme 13 Pro+ 5G,25499,50MP + 8MP + 50MP | 32MP Front Camera,12 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Gold,4.4
realme 13 5G,19999,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6300,Speed Green,4.3
realme 13 5G,19999,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6300,Dark Purple,4.3
realme 13 5G,16798,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6300,Speed Green,4.2
realme C73 5G,11349,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Jade Green,4.2
realme 13 Pro+ 5G,23947,50MP + 8MP + 50MP | 32MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Purple,4.4
realme GT 6T 5G,28990,50MP Rear Camera,8 GB RAM,128,17.22 cm (6.78 inch) Display,,Fluid Silver,4.5
realme 12+ 5G,19890,50MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Pioneer Green,4.3
realme GT 7 Pro,49499,50MP Rear Camera,16 GB RAM,512,17.22 cm (6.78 inch) Display,,Galaxy Grey,4.5
realme 13 Pro 5G,30999,50MP + 8MP + 2MP | 32MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Emerald Green,4.4
realme 13 Pro 5G,25000,50MP + 8MP + 2MP | 32MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Emerald Green,4.4
realme 13+ 5G,16990,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Victory Gold,4.3
realme 12+ 5G,21990,50MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Pioneer Green,4.3
realme Narzo N65 5G,13876,50MP Rear Camera,8 GB RAM,128,16.94 cm (6.67 inch) Display,,AMBER GOLD,4.2
realme NARZO N65 5G,11599,50MP Rear Camera,4 GB RAM,128,16.94 cm (6.67 inch) Display,,DEEP GREEN,4.3
realme GT 7T,34999,50MP + 8MP | 32MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Full HD+ AMOLED Display,Dimensity 8400-MAX,IceSense Black,4.4
realme GT 7T,34999,50MP + 8MP | 32MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Full HD+ AMOLED Display,Dimensity 8400-MAX,IceSense Blue,4.4
realme 13 Pro 5G,23998,50MP + 8MP + 2MP | 32MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Gold,4.4
realme 12 5G,16999,108MP + 2MP | 8MP Front Camera,6 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+,Green,4.4
realme GT 6T 5G,31499,50MP Rear Camera,12 GB RAM,256,17.22 cm (6.78 inch) Display,,Razor Green,4.5
realme GT 6T 5G,33447,50MP Rear Camera,12 GB RAM,512,17.22 cm (6.78 inch) Display,,Fluid Silver,4.5
realme GT 6T 5G,27990,50MP Rear Camera,8 GB RAM,256,17.22 cm (6.78 inch) Display,,Razor Green,4.5
realme GT 6T 5G,31499,50MP Rear Camera,12 GB RAM,256,17.22 cm (6.78 inch) Display,,Fluid Silver,4.5
realme C75 5G,13997,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Lily White,4.4
realme GT NEO 3,23990,50MP + 8MP + 2MP | 16MP Front Camera,12 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 8100,150W) (Asphalt Black,4.2
realme 13+ 5G,21999,50MP + 2MP | 16MP Front Camera,12 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Victory Gold,4.2
realme 13 Pro 5G,24000,50MP + 8MP + 2MP | 32MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Purple,4.4
realme 13+ 5G,20989,50MP + 2MP | 16MP Front Camera,12 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Speed Green,4.2
realme GT 6T 5G,30899,50MP Rear Camera,12 GB RAM,256,17.22 cm (6.78 inch) Display,,Miracle Purple,4.5
realme 13+ 5G,18999,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Speed Green,4.3
realme 13+ 5G,17927,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Dark Purple,4.3
realme 13 Pro+ 5G,25999,50MP + 8MP + 50MP | 32MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Emerald Green,4.4
realme GT 7 Pro,44998,50MP Rear Camera,12 GB RAM,256,17.22 cm (6.78 inch) Display,,Mars Orange,4.1
realme GT 7 Pro,44998,50MP Rear Camera,12 GB RAM,256,17.22 cm (6.78 inch) Display,,Grey,4.1
realme 13 Pro 5G,23999,50MP + 8MP + 2MP | 32MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Purple,4.4
realme GT 6T 5G,28800,50MP Rear Camera,8 GB RAM,256,17.22 cm (6.78 inch) Display,,Miracle Purple,4.5
realme Narzo N65 5G,12394,50MP Rear Camera,4 GB RAM,128,16.94 cm (6.67 inch) Display,,Deep Green,4.3
realme GT 6T 5G,27999,50MP Rear Camera,8 GB RAM,256,17.22 cm (6.78 inch) Display,,Fluid Silver,4.5
realme 13 Pro 5G,27999,50MP + 8MP + 2MP | 32MP Front Camera,12 GB RAM,512,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Emerald Green,4.3
realme P1 Speed 5G,18000,50MP + 2MP | 16MP Front Camera,12 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Textured Titanium,4.3
realme GT 7 Pro,49499,50MP Rear Camera,16 GB RAM,512,17.22 cm (6.78 inch) Display,,Mars Orange,4.5
realme P1 Speed 5G,17350,50MP + 2MP | 16MP Front Camera,12 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Brushed Blue,4.3
realme GT 6,28999,50MP + 8MP + 50MP | 32MP Front Camera,12 GB RAM,256,17.22 cm (6.78 inch) Full HD+ Display,8s Gen 3 Mobile Platform,Fluid Silver,4.5
realme GT 6,32999,50MP + 8MP + 50MP | 32MP Front Camera,16 GB RAM,512,17.22 cm (6.78 inch) Full HD+ Display,8s Gen 3 Mobile Platform,Razor Green,4.5
realme GT 6,27999,50MP + 8MP + 50MP | 32MP Front Camera,8 GB RAM,256,17.22 cm (6.78 inch) Full HD+ Display,8s Gen 3 Mobile Platform,Fluid Silver,4.5
realme 12 Pro+ 5G,22999,50MP + 8MP + 64MP | 32MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen 2,Submarine Blue,4.4
realme 12 Pro+ 5G,27899,50MP + 8MP + 64MP | 32MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen 2,Navigator Beige,4.4
realme GT 6,34999,50MP + 8MP + 50MP | 32MP Front Camera,12 GB RAM,256,17.22 cm (6.78 inch) Full HD+ Display,8s Gen 3 Mobile Platform,Razor Green,4.5
realme C65 5G,12989,50MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Glowing Black,4.3
realme GT 7T,34999,50MP + 8MP | 32MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Full HD+ AMOLED Display,Dimensity 8400-MAX,Racing Yellow,4.4
realme 14T 5G,19999,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 6300,Surf Green,4.2
realme 13 Pro+ 5G,24449,50MP + 8MP + 50MP | 32MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen2,Monet Gold,4.4
realme 12 Pro+ 5G,29999,50MP + 8MP + 64MP | 32MP Front Camera,12 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen 2,Explorer Red,4.5
realme GT 6,32999,50MP + 8MP + 50MP | 32MP Front Camera,16 GB RAM,512,17.22 cm (6.78 inch) Full HD+ Display,8s Gen 3 Mobile Platform,Fluid Silver,4.5
realme GT 6,27999,50MP + 8MP + 50MP | 32MP Front Camera,8 GB RAM,256,17.22 cm (6.78 inch) Full HD+ Display,8s Gen 3 Mobile Platform,Razor Green,4.5
realme 14T 5G,17998,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 6300,Surf Green,4.2
realme P1 5G,14999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Phoenix Red,4.4
realme 12x 5G,13499,50MP + 2MP | 8MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+,Twilight Purple,4.4
realme 14 Pro 5G,22999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.2 cm (6.77 inch) Full HD+ Display,Dimensity 7300 Energy,Grey,4.4
realme 12x 5G,11999,50MP + 2MP | 8MP Front Camera,4 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+,Green,4.1
realme 12x 5G,12499,50MP + 2MP | 8MP Front Camera,6 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+,Woodland Green,4.4
realme 12x 5G,12499,50MP + 2MP | 8MP Front Camera,6 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+,Twilight Purple,4.4
realme P2 Pro 5G,17999,50MP + 8MP | 32MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,7s Gen2,Eagle Grey,4.4
realme P2 Pro 5G,17999,50MP + 8MP | 32MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,7s Gen2,Parrot Green,4.4
realme 12 Pro+ 5G,29999,50MP + 8MP + 64MP | 32MP Front Camera,12 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen 2,Navigator Beige,4.5
realme C65 5G,13989,50MP Rear Camera | 8MP + 8MP Dual Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Feather Green,4.3
realme P1 Speed 5G,15974,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7300 Energy,Textured Titanium,4.3
realme 14T 5G,17984,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 6300,Obsidian Black,4.2
realme C73 5G,11327,32MP Rear Camera | 8MP Front Camera,4 GB RAM,64,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Crystal Purple,4.2
realme 12 Pro+ 5G,29990,50MP + 8MP + 64MP | 32MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 7s Gen 2,Explorer Red,4.4
realme 12x 5G,11999,50MP + 2MP | 8MP Front Camera,4 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+,Twilight Purple,4.1
realme narzo 50 5G,14999,48MP Rear Camera,4 GB RAM,128,16.76 cm (6.6 inch) Display,,Hyper Blue,4.3
realme P1 5G,14999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Feather Blue,4.4
realme 12x 5G,13499,50MP + 2MP | 8MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+,Woodland Green,4.4
realme P1 5G,13999,50MP + 2MP | 16MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Phoenix Red,4.4
realme P1 5G,14999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Peacock Green,4.4
realme P1 5G,13999,50MP + 2MP | 16MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Peacock Green,4.4
realme 8 5G,16499,48MP + 2MP + 2MP | 16MP Front Camera,4 GB RAM,128,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Dimensity 700 (MT6833),Supersonic Black,4.3
realme P1 5G,13999,50MP + 2MP | 16MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Feather Blue,4.4
realme 8 5G,15499,48MP + 2MP + 2MP | 16MP Front Camera,4 GB RAM,64,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Dimensity 700 (MT6833),Supersonic Blue,4.3
realme P1 5G,13999,50MP + 2MP | 16MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Peacock Green,4.4
realme P1 5G,18999,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,Dimensity 7050,Peacock Green,4.4
realme narzo 50 5G,12990,48MP Rear Camera,4 GB RAM,64,16.76 cm (6.6 inch) Display,,Hyper Black,4.3
realme GT Neo 3T,18999,64MP + 8MP + 2MP | 16MP Front Camera,6 GB RAM,128,16.81 cm (6.62 inch) Full HD+ AMOLED Display,Qualcomm Snapdragon 870,Dash Yellow,4.3
realme GT NEO 3,23998,50MP + 8MP + 2MP | 16MP Front Camera,12 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 8100,150W) (Nitro Blue,4.2
realme GT Neo 3T,33999,64MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,256,16.81 cm (6.62 inch) Full HD+ AMOLED Display,Qualcomm Snapdragon 870,Drifting White,4.3
realme C65 5G,14400,50MP Rear Camera | 8MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Glowing Black,4.3
realme GT Neo 3T,31999,64MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.81 cm (6.62 inch) Full HD+ AMOLED Display,Qualcomm Snapdragon 870,Dash Yellow,4.3
realme GT Neo 3T,33999,64MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,256,16.81 cm (6.62 inch) Full HD+ AMOLED Display,Qualcomm Snapdragon 870,Dash Yellow,4.3
realme GT Neo 3T,17500,64MP + 8MP + 2MP | 16MP Front Camera,6 GB RAM,128,16.81 cm (6.62 inch) Full HD+ AMOLED Display,Qualcomm Snapdragon 870,Shade Black,4.3
