Product Name,Product Price,Product Camera,Product RAM,Product ROM,Product Display,Product Processor,Product Color,Product Rating
realme NARZO 70 5G,15134,50MP Rear Camera | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ AMOLED Display,,FOREST GREEN,4.3
realme 9 Pro+ 5G,12999,50MP + 8MP + 2MP | 16MP Front Camera,6 GB RAM,128,16.26 cm (6.4 inch) Full HD+ AMOLED Display,Mediatek Dimensity 920,Midnight Black,4.4
realme narzo 70 5G,14226,50MP Rear Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ AMOLED Display,,Forest Green,4.3
realme X50 Pro 5G,47999,64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,12 GB RAM,256,16.36 cm (6.44 inch) Full HD+ Display,Qualcomm Snapdragon 865,Rust Red,4.4
realme 10 Pro+ 5G,27999,108MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 1080 5G,Hyperspace,4.4
realme 10 Pro+ 5G,27999,108MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 1080 5G,Dark Matter,4.4
realme 10 Pro+ 5G,25999,108MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 1080 5G,Dark Matter,4.4
realme 10 Pro+ 5G,24500,108MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 1080 5G,Nebula Blue,4.4
realme Narzo 60 pro 5G,24990,100MP Rear Camera,12 GB RAM,256,17.02 cm (6.7 inch) Display,,Cosmic Black,4.3
realme 10 Pro+ 5G,21999,108MP + 8MP + 2MP | 16MP Front Camera,6 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 1080 5G,Nebula Blue,4.4
realme 11x 5G,12490,64MP + 2MP | 8MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+,Midnight Black,4.4
realme 10 Pro+ 5G,22499,108MP + 8MP + 2MP | 16MP Front Camera,6 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 1080 5G,Hyperspace,4.4
realme 10 Pro+ 5G,13999,108MP + 8MP + 2MP | 16MP Front Camera,6 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 1080 5G,Dark Matter,4.4
